standort_equipment;technplatzbezeichng;equipment;equipmentname;ort;wirtschaftseinheit;hersteller;baujahr;antriebsart;anzahl_haltestellen;anzahl_tueren_kabine;anzahl_tueren_schacht;foerdergeschwindigkeit;foerderhoehe;lage;tragkraft;erweiterte_ortsangabe;min_tuerbreite;kabinentiefe;kabinenbreite;kabinenhoehe;tuerhohe;fabriknummer;tuerart;geokoordinaterechtswert;geokoordinatehochwert;ausftextlichebeschreibung
NAHVERKEHRSBAHNSTEIG;Bahnsteig Gl. 3/4 Nahverkehrsbstg.;10352879;Aufzug;Neu Ulm;4357;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;;     7,350000000000001;BAHNSTEIGENDE;;BAHNSTEIGENDE;    900;    2100;    1100;    2200;    2100;47KAF936;ES2;    3574462,915;    5362132,7779999999;Aufzug zu Gleis 3/4
FERNVERKEHRSBAHNSTEIG;Bahnsteig Gl. 1/2 Fernbahnsteig;10352881;Aufzug HA 3024;Neu Ulm;4357;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;;     7,350000000000001;BAHNSTEIGENDE;;BAHNSTEIGENDE;    900;    2100;    1100;    2200;    2100;47KAF826;ES2;    3574450,4569999999;    5362146,6519999998;Aufzug zu Gleis 1/2
AUSGANG;S-Bahnsteig;10352932;Personenaufzug HA 160;Elbgaustraße;1542;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;     1;     5,8;AUSSN;    1025;;;;;;;;;;;
BSTG.1 ZUM BSTG.4; Aufzugsschacht (Stahlkonstruktion);10353012;AZ Nr.3, BSTG.1 ZU BSTG.4 Fab.Nr.;Doberlug-Kirchhain;1240;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     5,95;INTEGRIERT;    1050;"GL1;GL4";    1000;    2100;    1100;    2200;    2100;47KAH639;ZS2;    3816089,9619999998;    5730566,4060000004;Aufzug zwischen Gleis 1 und Gleis 4
TUNNEL/BSTG.3 GL.4/5 HA4175;Bahnsteig 2, Gl. 4-5;10353100;Personenaufzug  Tun/Bstg.2 Gl.4/5 HA4175;Husum;2953;Thyssen Krupp AG;2003;SEIL;     2;     1;     2;     1;     4,53;;    1000;;;;;;;;;    3503627,534;    6038025,21;Aufzug zwischen Gleis 4/5 und Tunnel
TUNNEL/BSTG.2 GL.1/3 HA4174;Bahnsteig 1, Gl. 1-3;10353102;Personenaufzug  Tun/Bstg.1 Gl.1/3 HA4174;Husum;2953;Thyssen Krupp AG;2003;SEIL;     2;     1;     2;     1;     4,53;;    1000;;;;;;;;;    3503630,571;    6038043,4759999998;Aufzug zwischen Gleis 1/3 und Tunnel
GLEIS 1  HA 0019;Bahnsteig 01;10353152;Personenaufzug Gl. 1 46101-001;St. Ingbert;5942;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     3,73;;    1300;;;;;;;;;    3362585,1579999998;    5461424,5609999998;Aufzug zu Gleis 1
;Erdgeschoss;10354309;Aufzug HA 0057 Anbindung Terminal 1;Köln/Bonn Flughafen;4762;Tepper Aufzüge GmbH;2004;INDIREKT HYDRAULISCH;     3;     2;     3;     0,5;    10,200000000000001;;    4200;;;;;;;;;;;Aufzug zwischen Terminal 1 Erdgeschoss
BAHNSTEIG 1 ZUM P.-TUNNEL;Aufzugsschacht - Aufzug OTIS;10354470;OTIS Personenaufzug / 47 NAH 929-Gl.1;Osnabrück Hbf;4787;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;     1;     3,36;ABGANG A/GLEIS1;    1050;BAHNSTEIG 1;    900;    2250;    930;    2200;    2100;47NAH929;;    3435973,0189999999;    5793643,557;Aufzug zwischen Gleis 1 und Tunnel
GLEIS 2/3  HA 0020;Bahnsteig 02;10354589;Personenaufzug Gl.2-3  46101-002;St. Ingbert;5942;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     3,73;;    1300;;;;;;;;;    3362575,977;    5461440,46;Aufzug zu Gleis 2/3
HA 0012;Bahnsteig 3/4;10354590;Personenaufzug Gl. 2/3 46101-002;Homburg (Saar) Hbf;2892;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     3,73;;    1300;;;;;;;;;    3379187,531;    5466982,0920000002;Aufzug zu Gleis 2/3
HA 9013;Bahnsteig 5/6;10354591;Personenaufzug Gl.4/5 46101-003;Homburg (Saar) Hbf;2892;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     3,73;;    1300;;;;;;;;;    3379174,9160000002;    5466992,841;Aufzug zu Gleis 4/5
HA 0014;Bahnsteig 7/8;10354592;Personenaufzug Gl.7/8 46101-004;Homburg (Saar) Hbf;2892;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     3,73;;    1300;;;;;;;;;    3379174,9160000002;    5466992,841;Aufzug zu Gleis 7/8
L370,00 B6,00 KH0,55;Bahnsteig 01;10354738;Personenaufzug;Jena Paradies;3043;Thyssen Krupp AG;2005;SEIL;     2;     2;     2;     1;     5,74;;    1000;;;;;;;;;    3681882,4180000001;    5646440,6339999996;
L370,00 B6,00 KH0,55;Bahnsteig 02;10354739;Personenaufzug;Jena Paradies;3043;Thyssen Krupp AG;2005;SEIL;     2;     2;     2;     1;     5,76;;    1000;;;;;;;;;    3681889,5090000001;    5646425,5549999997;Aufzug zu Bstg 2
;Bahnsteig 1;10354891;HA 169  46101-001;Frankfurt (Main) Flughafen Reg;1849;Thyssen Krupp AG;2008;SEIL;     2;;;;     5;;    1050;;;;;;;;;;;
ALTENHUNDEM GLEIS 3;Bahnsteig 02;10355274;Personenaufzug Gleis 3;Lennestadt-Altenhundem;104;OTIS GmbH & Co. OHG;2006;HYDRAULISCH;     2;     2;;     1;     3,97;;    1050;;;;;;;;;    3435038,6090000002;    5663658,2570000002;Aufzug zu Gleis 3
ALTENHUNDEM UNTERFÜHRUNG;Personenunterführung 01;10355275;Personenaufzug Unterführung;Lennestadt-Altenhundem;104;OTIS GmbH & Co. OHG;2007;HYDRAULISCH;     2;     2;;     1;     2,76;;    1050;;;;;;;;;    3435061,173;    5663640,6770000001;
ALTENHUNDEM GLEIS 1/2;Bahnsteig 01;10355276;Personenaufzug Gleis 1/2;Lennestadt-Altenhundem;104;OTIS GmbH & Co. OHG;2007;HYDRAULISCH;     2;     2;;     1;     3,97;;    1050;;;;;;;;;    3435051,358;    5663654,6140000001;Aufzug zu Gleis 1/2
AUFZUG ZUR STRAßE;Tunnel/Zugangsbereich;10355317;Personenaufzug Sophienstraße HA 37;Reinbek;5200;Lutz Aufzüge;2006;SEIL;     2;     1;     2;     1;     2,95;AUßEN;    1050;;;;;;;;;    3583186,0550000002;    5931489,0470000003;
AUFZUG ZUM BSTG;S-Bahnsteig;10355320;Personenaufzug Bstg HA 036;Reinbek;5200;Lutz Aufzüge;2006;SEIL;     2;     1;     2;     0,63;     4,86;AUßEN;    1050;;;;;;;;;    3583192,1499999999;    5931478,4009999996;
PERSONENTUNNEL;Bahnsteig 01 Mittelbahnsteig;10355616;Personenaufzug;Aachen-Rothe Erde;2;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;     7,42;;    1025;;;;;;;;;    3296691,148;    5630059,7659999998;Aufzug zwischen Bstg 1 und Tunnel
BSTG. GL. 3/4;Bahnsteig 02 Gl 3/4;10355659;Aufzug am Gleis 3/4 HA 3051;Augsburg-Hochzoll;223;Schindler;2006;SEIL;     2;     2;     2;;     6,82;BAHNSTEIGENDE;    1050;BAHNSTEIGENDE;    900;    2100;    1100;    2200;    2100;10193523;ZS2;    3644197,1200000001;    5358995,3269999996;Aufzug zu Gleis 3/4
VOM BSTG ZUM VORPLATZ SÜD;S-Bahnsteig;10355921;Aufzug zum Vorplatz Süd  A2 HA 205;Hamburg Airport (Flughafen);2458;Thyssen Krupp AG;2008;SEIL;     4;     2;     4;     1;    20,278000000000002;OBEN;    5500;;;;;;;;;    3566665,298;    5945029,7589999996;Aufzug zwischen Bstg und Vorplatz (Süd)
BST 2/3 ENDE BAHNSTEIG;Bahnsteig 2 ( Gleis 2/3 );10355938;Personenaufzug Bstg Gl. 2;Herzogenrath;2744;Thyssen Krupp AG;2008;SEIL;     2;     2;     2;     1;     4,65;;    1050;;;;;;;;;    3295550,8480000002;    5641281,5410000002;Aufzug zu Gleis 2/3 (Ende)
BST 1 TREPPENAUFGANG;Bahnsteig 1 ( Gleis 1/55 );10355939;Personenaufzug Bstg Gl. 1;Herzogenrath;2744;Thyssen Krupp AG;2008;SEIL;     2;     2;     2;     1;     4,65;;    1050;;;;;;;;;    3295569,7549999999;    5641277,9529999997;Aufzug zwischen Gleis 1 und Treppenaufgang
BST 4 TREPPENAUFGANG;Bahnsteig 04  (Gleis 8/9);10355941;Personenaufzug;Aachen Hbf;1;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     4,65;;    1050;;;;;;;;;    3294840,2230000002;    5629841,5700000003;Aufzug zwischen Gleis 8/9 und Treppenaufgang
BST 3 TREPPENAUFGANG;Bahnsteig 03  (Gleis 6/7);10355942;Personenaufzug;Aachen Hbf;1;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     4,65;;    1050;;;;;;;;;    3294840,4470000002;    562984,57000000007;Aufzug zwischen Gleis 6/7 und Treppenaufgang
BST 2 TREPPENAUFGANG;Bahnsteig 02  (Gleis  2/3);10355943;Personenaufzug;Aachen Hbf;1;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     4,65;;    1000;;;;;;;;;    3294842,8360000001;    5629852,0949999997;Aufzug zwischen Gleis 2/3 und Treppenaufgang
GERNLINDEN, BSTG A;Bahnsteig  1;10355955;Aufzug OTIS BSTG 1 HA 1044;Gernlinden;2094;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     5,38;GLEIS 1/2;    1050;BAHNSTEIGENDE IN MAMMENDORF;    1000;    2100;    1100;    2200;    2100;47NAF617;ES2;    3670943,7089999998;    5344206,4610000001;
BAHNSTEIG 8/9;Gleise 8 / 9;10356099;Personenaufzug Gl. 8/9  ( neu );Duisburg Hbf;1374;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;;     5,03;;    800;;;;;;;;;    3345431,0219999999;    5701792,4079999998;Aufzug zu Gleis 8/9
BAHNSTEIG 1/2;Gleise 1 / 2;10356101;Personenaufzug Gl. 1/2 ( neu );Duisburg Hbf;1374;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;;     1;     5,020000000000001;;    800;;;;;;;;;    3345367,983;    5701802,7970000003;Aufzug zu Gleis 1/2
BAHNSTEIG 3/4;Gleise 3 / 4;10356106;Personenaufzug ( neu );Duisburg Hbf;1374;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;;     5,03;;    800;;;;;;;;;    3345386,9840000002;    5701799,7460000003;Aufzug zu Gleis 3/4
;Bahnsteig 04  (Mittelbahnsteig Gl. 1/2);10356326;Personenaufzug  HA 0055;Troisdorf;6273;;2008;SEIL;     2;     2;     2;     1;     4,825;AUßEN;    1050;;;;;;;;;    3369728,233;    5632590,8100000005;Aufzug zu Gleis 1/2
;Bahnsteig 6/7;10356927;Aufzug Gl. 6/7 47KAA440;Hameln;2525;OTIS GmbH & Co. OHG;2006;SEIL;     2;     1;     2;     1;     3,89;;    1050;;;;;;;;;    3525788,0649999999;    5774327,5279999999;Aufzug zu Gleis 6/7
GLEIS 1;Bahnsteig A;10356986;Personenaufzug 47KAH 125 HA 8101;Mindelheim;4119;Otis GmbH;2008;SEIL;     2;     2;     2;;     4,44;BAHNSTEIG;    1070;BAHNSTEIGMITTE;    1000;    2100;    1100;    2200;    2100;47KAH125;ZS2;    3612016,9279999998;    5324057,0099999998;Aufzug zu Gleis 1
BAHNSTEIG 1 (287008113);Personenunterführung 01;10357516;PAufzug_HA0315_Bstg.1, Gl.1;Neuwirtshaus-Porscheplatz;4467;ThyssenKrupp Aufzüge GmbH;2009;SEIL;     2;     2;     2;     1;     4,9;;    1050;;;;;;;287008113;;;;Aufzug zwischen Gleis 1 und Tunnel
BAHNSTEIG 2 (287008114);Personenunterführung 01;10357517;PAufzug_HA0316_Bstg.2, Gl.2;Neuwirtshaus-Porscheplatz;4467;ThyssenKrupp Aufzüge GmbH;2008;SEIL;     2;     2;     2;     1;     4,9;;    1050;;;;;;;287008114;;;;Aufzug zwischen Gleis 2 und Tunnel
GLEIS 2/4;Mittelbahnsteig Gleis 2/4;10357526;Personenaufzug 47KAH 126 HA 8102;Mindelheim;4119;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;;     4,44;BAHNSTEIG;    1070;BAHNSTEIGENDE;    1000;    2100;    1100;    2200;    2100;47KAH126;ZS2;    3612033,213;    5324046,2549999999;Aufzug zu Gleis 2/4
PERS-TUNNEL AUFG ZU DEN BSTG.;Bahnsteig 1 ( Hausbahnsteig);10357578;P-Aufzug 2 - Bstg 1, FabrikNr:10281763;Emsdetten;1590;Schindler Aufzüge und Fahrtrep;2008;SEIL;     2;     4;     1;     1;     5,28;AM BSTG 1;    650;GL1;    900;    2100;    1100;    2300;    2100;10281763;;    3399625,0320000001;    5783545,0719999997;Aufzug zwischen Gleis 1 und Tunnel
NORDAUSGANG HA 0018;Personentunnel Hauptdurchgang;10357722;Personenaufzug Nordausg 461 01 009;Saarbrücken Hbf;5451;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     3,36;;    800;;;;;;;;;    3353803,344;    5458039,7290000003;
BAHNSTEIG 1 HA 0015;Personentunnel Hauptdurchgang;10357723;Personenaufzug Bstg 1-3  46101 006;Saarbrücken Hbf;5451;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     6,84;;    800;;;;;;;;;    3353786,6230000001;    5457939,3300000001;
BAHNSTEIG 2 HA 0017;Personentunnel Hauptdurchgang;10357724;Personenaufzug Bstg 5-12  46101 007;Saarbrücken Hbf;5451;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     5,8;;    800;;;;;;;;;    3353791,1770000001;    5457967,0240000002;
BAHNSTEIG 3 HA 0016;Personentunnel Hauptdurchgang;10357725;Personenaufzug Bstg 14-16  461 01 008;Saarbrücken Hbf;5451;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     5,07;;    800;;;;;;;;;    3353794,6099999999;    5457988,5219999999;
BSTG. GL.2/3 - 47KAH897;Bahnsteig 02;10357726;Personenaufzug Bstg Gl.2/3;Elmshorn;1558;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;;TUNNEL ZUM MITTELBSTG GL.2/3;    1400;;;;;;;;;;;Aufzug zwischen Gleis 2/3 und Tunnel
PERS-TUNNEL AUFG ZU DEN BSTG.;Bahnsteig 2 (Außenbstg);10357752;P-Aufzug 1 - Bstg 2, FabrikNr:10281764;Emsdetten;1590;Schindler Aufzüge und Fahrtrep;2008;SEIL;     2;     4;     4;     1;     5,28;AM BSTG 1;    650;GL2;    900;    2100;    1100;    2300;    2100;10281764;;    3399645,3960000002;    5783554,3090000004;Aufzug zwischen Gleis 2 und Tunnel
;Bahnsteig 2    Gl. 1       Hausbahnsteig;10358600;Personenaufzug Bahnsteig 2;Bad Schandau;335;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;;;    1025;;;;;;;;;    3861347,6370000001;    5655234,2060000002;Aufzug zu Gleis 1
ZUGANGSANLAGE WEST;S-Bahnsteig;10358755;Personenaufzug HA 206;Neuwiedenthal;4465;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;     1;     5,33;AUßEN;    1050;;;;;;;;;    3558212,4199999999;    5927187,7929999996;
;Personentunnel;10358866;Personenaufzug Gl 2/3;Paderborn Hbf;4846;;2007;SEIL;     2;     1;     2;;;;;"UG ; GL 2/3";    1000;    2100;    1100;    2200;    2100;47KAE394;ZS2;;;Aufzug zwischen Gleis 2/3 und Tunnel (UG)
;Personentunnel;10358867;Personenaufzug Gl 1;Paderborn Hbf;4846;;2007;SEIL;     3;     1;     3;;;;;"UG ; AUSG. ; GL 1";    1000;    2100;    1100;    2200;    2100;42KAE393;ZS2;;;Aufzug zwischen Gleis 1 und Tunnel (UG)
;Personentunnel;10359074;Personenaufzug Gleis 3/4;Bielefeld Hbf;622;Thyssen Krupp AG;2005;SEIL;     2;     2;     2;;;;;"UG ; GL 3+4";    1000;    2100;    1100;    2300;    2100;216161115;ZS2;    3468079,4440000001;    5766369,8969999999;Aufzug zwischen Gleis 3/4 und Tunnel (UG)
;Personentunnel;10359075;Personenaufzug Gleis 5/6;Bielefeld Hbf;622;Thyssen Krupp AG;2005;SEIL;     2;     2;     2;;;;;"UG ; GL 5+6";    1000;    2100;    1100;    2300;    2100;216161116;ZS2;    3468067,6499999999;    5766379,0039999997;Aufzug zwischen Gleis 5/6 und Tunnel (UG)
;Personentunnel;10359077;Personenaufzug Halle EG;Bielefeld Hbf;622;Thyssen Krupp AG;2005;SEIL;     2;     2;     2;;;;;"UG ; AUSG";    1000;    2100;    1100;    2300;    2100;216161112;ZS2;;;
;Bahnsteig 02 (Mittelbahnsteig);10359210;Personenaufzug HA 0004;Kierberg;3175;Thyssen Krupp AG;2007;SEIL;     2;     1;     2;     1;     4,65;BAHNSTEIG 2/3;    1000;;;;;;;;;    3351293,3969999999;    5635713,057;Aufzug zu Bstg 2/3
;Bahnhofsvorplatz;10359213;Personenaufzug HA 0003;Kierberg;3175;Thyssen Krupp AG;2007;SEIL;     2;     2;     2;     1;     4,22;VORTPLATZ;    1050;;;;;;;;;    3351302,952;    5635709,5480000004;
;Bahnsteig 01;10359274;Personenaufzug Bstg 1 HA 0500;Giengen (Brenz);2118;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;;;;;;;;;;;;;    3591303,3530000001;    5387668,7929999996;
;Bahnsteig 02;10359276;Personenaufzug Bstg 2 HA 0501;Giengen (Brenz);2118;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;;;;;;;;;;;;;    3591308,4410000001;    5387649,8830000004;Aufzug zu Bstg 2
ZUM TERMINAL 2;Zwischenebene Schalterhalle Süd T2;10360023;Aufzug zum Terminal 2 A1 HA 208;Hamburg Airport (Flughafen);2458;Thyssen Krupp AG;2008;SEIL;     2;     2;     2;     1;     7,98;NEBEN;    4000;;;;;;;;;;;
VOM BSTG ZUM VORPLATZ NORD;S-Bahnsteig;10360024;Aufzug zum Vorplatz  Nord A3 HA 207;Hamburg Airport (Flughafen);2458;Thyssen Krupp AG;2008;SEIL;     4;     2;     4;     1;    20,685000000000002;OBEN;    5500;;;;;;;;;    3566659,3259999999;    5945099,1050000004;Aufzug zwischen Bstg und Vorplatz (Nord)
ZUM TERMINAL 1;Zwischenebene Schalterhalle Nord T1;10360025;Aufzug zum Terminal 1 A4 HA 209;Hamburg Airport (Flughafen);2458;Thyssen Krupp AG;2008;SEIL;     2;     2;     2;     1;     8,575000000000001;NEBEN;    4000;;;;;;;;;;;Aufzug zwischen Terminal 1 und Zwischenebene Schalterhalle Nord T1
;Bahnhofsvorplatz;10360538;Personenaufzug HA 0056;Troisdorf;6273;;2008;SEIL;     2;     2;     2;     1;     3,51;AUßEN;    1070;;;;;;;;;    3369736,821;    5632609,6600000001;
BAHNSTEIG GLEIS 1;Bahnsteig Gleis 1;10378134;Personenaufzug Bstg 1 zur PU AMP;Witzenhausen Nord;6838;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     1;     1;     4,43;;    1025;;;;;;;;;    3560169,8709999998;    5691104,2139999997;Aufzug zu Gleis 1
BAHNSTEIG GLEIS 2;Bahnsteig Gleis 2;10378135;Personenaufzug Bstg 2 zur PU AMP;Witzenhausen Nord;6838;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     1;     1;     4,43;;    1025;;;;;;;;;    3560164,7420000001;    5691127,8080000002;Aufzug zu Gleis 2
;Mittelbahnsteig;10378136;AZ Gl. 1-2 (PeopleMover)/F-Nr: 814006002;Betriebsbahnhof Berlin-Rummels;592;Thyssen Krupp AG;2007;SEIL;     2;     1;     2;     0,75;     6,19;AUßEN;    600;"GL1/2;AUSGANG";    1000;    1700;    1160;    2200;    2100;814006002;ZS4;;;Aufzug zu Gleis 1/2
;Mittelbahnsteig;10378137;AZ Gl. 1-2 / Fabrik-Nr: 47KAG001;Berlin-Blankenburg;535;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     1,71;AUßEN;    1050;"GL1/2;AUSGANG";    1000;    2240;    940;    2200;    2100; 47KAG001;ES2;;;Aufzug zu Gleis 1/2
;Bahnsteig B 2/3;10378150;AZ Gl. 2-3 (Osttunnel)/F-Nr: 47KV 0205;Berlin Ostbahnhof;530;OTIS GmbH & Co. OHG;2004;SEIL;     3;     2;     3;     1;     6,42;OHNE;    2000;"GL2/3OST;AUSGANG";    1000;    2930;    1340;    2180;    2000;47KV0205;ZS2;    3801157,9750000001;    5828899,0389999999;Aufzug zu Gleis 2/3 (Ost)
;Bahnsteig  C  / Gleis 06 und 07;10378151;AZ Gl. 6-7 (Osttunnel)/F-Nr: 47KV 0206;Berlin Ostbahnhof;530;OTIS GmbH & Co. OHG;2004;SEIL;     3;     2;     3;     1;     6,5;OHNE;    2000;"GL6/7OST;AUSGANG";    1000;    2930;    1340;    2180;    2000;47KV0206;ZS2;    3801172,9679999999;    5828923,1310000001;Aufzug zu Gleis 6/7 (Ost)
;S-Bahnsteig 01 Gleis 8 und 9;10378152;AZ Gl. 8-9 (Osttunnel)/F-Nr: 47KP 9749;Berlin Ostbahnhof;530;OTIS GmbH & Co. OHG;2004;SEIL;     3;     2;     3;     1;     6,770000000000001;OHNE;    2000;"GL8/9OST;AUSGANG";    1000;    2930;    1340;    2180;    2000;47KP 9749;ZS2;    3801183,0019999999;    5828938,1090000002;Aufzug zu Gleis 8/9 (Ost)
;S-Bahnsteig 02 / Gleis 10 und 11;10378153;AZ Gl. 10-11 (Osttunnel)/F-Nr: 47KP 9750;Berlin Ostbahnhof;530;OTIS GmbH & Co. OHG;2004;SEIL;     2;     3;     2;     1;     6,770000000000001;OHNE;    2000;"GL10/11OST;AUSGANG";    1000;    2930;    1340;    2180;    2000;47KP 9750;ZS2;    3801192,1170000001;    5828952,9390000002;Aufzug zu Gleis 10/11 (Ost)
;Bahnsteig 1 / 2;10378162;Personenaufzug Aufgang Hainrichstr.;Gera Süd;2075;OTIS GmbH & Co. OHG;2006;SEIL;     2;     1;     2;     1;     6,8;BAHNSTEIG 1/2 - HAINRICHSTRAßE;    1025;;;;;;;;;    3716541,9040000001;    5641896,8080000002;"Aufzug zu Bstg 1/2 ; Ausgang Hainrichtstr."
;Bahnsteig  1 / 2;10378163;Personenaufzug Bahnsteig 1/2;Gera Hbf;2073;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;     6,7;BAHNSTEIG-OEPNV;    1070;;;;;;;;;    3716603,1090000002;    5643088,8890000004;Aufzug zu Bstg 1/2
;Bahnsteig  5 a,b / 6 a,b;10378165;Personenaufzug Bahnsteig 5a/6a;Gera Hbf;2073;OTIS GmbH & Co. OHG;2006;SEIL;     2;     2;     2;     1;     6,83;BAHNSTEIG-OEPNV;    1070;;;;;;;;;    3716561,8700000001;    5643102,0959999999;Aufzug zu Bstg 5/6
BAHNSTEIG 1/2;Bahnsteig 1;10378166;Personenaufzug;Dieskau;1204;Thyssen Krupp AG;2004;SEIL;     2;     2;     2;;     6,76;;    1050;;    1000;    2100;    1100;    2200;    2100;244203001;ZS2;    3712206,977;    5706183,8159999996;Aufzug zu Bstg 1/2
;Bahnsteig 01;10378180;Personenaufzug Hausbahnsteig Gl. 1;Kreuztal;3420;Schindler Aufzüge und Fahrtrep;2006;SEIL;     2;     2;     2;     1;     4,25;;    1000;;;;;;;;;    3429269,8369999998;    5647206,5800000001;Aufzug zu Gleis 1
;Bahnsteig 02;10378181;Personenaufzug Mittelbahnsteig;Kreuztal;3420;Schindler Aufzüge und Fahrtrep;2006;SEIL;     2;     2;;     1;     4,12;MITTELBAHNSTEIG;    1000;;;;;;;;;    3429259,3020000001;    5647198,807;Aufzug zu Bstg 2
UNTERFÜHRUNG SÜD;Personenunterführungen SÜD+NORD;10392728;HA 0031 - Aufzug;Lochham;3757;Kone GmbH;2004;SEIL;     2;     2;     2;;     4,61;UNTERFUEHRUNG SUED;    1425;BAHNSTEIGENDE;    1100;    2200;    1400;    2300;    2100;5945024;ES2;    3681062,9079999998;    5335228,3289999999;
BAHNSTEIG 5/6;Gleise 5 / 6;10392998;Aufzugsanlage neu Bstg. 3;Duisburg Hbf;1374;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;     1;     5,020000000000001;;    800;;;;;;;;;    3345406,3960000002;    5701796,5530000003;Aufzug zu Gleis 5/6
BAHNSTEIG 10/11;Gleise 10 / 11;10392999;Personenaufzug neu;Duisburg Hbf;1374;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;;;     5,03;;    800;;;;;;;;;    3345450,4419999998;    5701789,2400000002;Aufzug zu Gleis 10/11
BAHNSTEIG 12/13;Gleise 12 / 13;10393003;Personenaufzug neu;Duisburg Hbf;1374;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;;     5,03;;    800;;;;;;;;;    3345469,7579999999;    5701785,9620000003;Aufzug zu Gleis 12/13
;Bahnsteig 02;10396522;Personenaufzug OTIS 47NAJ544;Sehnde;5802;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;     4,59;;    1025;;    1000;    2100;    1100;    2200;    2100;47NAJ544;ES2;    3565698,8810000001;    5798712,2989999996;Aufzug zu Bstg 2
BAHNSTEIG 01;Bahnsteig 01;10396876;AZ Bahnsteig 1 Gl. 2/3 Fabr. 47 KAH 708;Pasewalk;4870;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;     1;     4,62;IM SCHACHTKOPF;    1070;"GL1;TUNNEL";    1000;    2100;    1100;    2100;    2200;47KAH708;ES2;    3830908,6549999998;    5943118,8130000001;Aufzug zwischen Gleis 2/3 und Tunnel
BAHNSTEIG 02/03;Bahnsteig 02;10396877;AZ Bahnsteig 2/3 Fabr. 47 KAH 709;Pasewalk;4870;OTIS GmbH & Co. OHG;2008;SEIL;     2;     2;     2;     1;     4,62;IM SCHACHTKOPF;    1070;"GL2/3;TUNNEL";    1000;    2100;    1100;    2100;    2200;47KAH709;ES2;    3830883,9479999999;    5943115,4539999999;Aufzug zwischen Gleis 2/3 und Tunnel
BAHNSTEIG 1;Bahnsteig 01;10397120;AZ Gl. 1 / Fabrik-Nr: 47NAH774;Berlin-Julius-Leber-Brücke;7759;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;     6,05;AUßEN;    1050;"GL1;AUSGANG";    1000;    2240;    950;    2300;    2100;47NAH774;ES2;    3796237,2969999998;    5825973,432;Aufzug zu Gleis 1
BAHNSTEIG 2;Bahnsteig 02;10397121;AZ Gl. 2 / Fabrik-Nr: 47NAH775;Berlin-Julius-Leber-Brücke;7759;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;     6,05;AUßEN;    1050;"GL2;AUSGANG";    1000;    2240;    950;    2300;    2100;47NAH775;ES2;    3796250,997;    5825964,7340000002;Aufzug zu Gleis 2
BAHNSTEIG 4/5;Bahnsteig Gleis 4/5;10406751;Personenaufzug;Hildesheim Hbf;2765;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     1;;;;    1025;;;;;;;;;;;Aufzug zu Gleis 4/5
